directorCd,directorNm,repRoleNm,filmos
10077515,크리스토퍼 맥쿼리,감독,"[{'movieCd': '20181181', 'movieNm': '미션 임파서블: 폴아웃', 'moviePartNm': '감독'}, {'movieCd': '20157881', 'movieNm': '미션 임파서블: 로그네이션', 'moviePartNm': '감독'}, {'movieCd': '20123333', 'movieNm': '잭 리처', 'moviePartNm': '감독'}, {'movieCd': '20010158', 'movieNm': '웨이 오브 더 건', 'moviePartNm': '감독'}, {'movieCd': '19960083', 'movieNm': '유주얼 서스펙트', 'moviePartNm': '시나리오(각본)'}]"
10032042,브래드 버드,감독,"[{'movieCd': '20183361', 'movieNm': '인크레더블 2', 'moviePartNm': '감독'}, {'movieCd': '20159748', 'movieNm': '투모로우랜드', 'moviePartNm': '감독'}, {'movieCd': '20112207', 'movieNm': '미션임파서블:고스트프로토콜', 'moviePartNm': '감독'}, {'movieCd': '20070264', 'movieNm': '라따뚜이', 'moviePartNm': '감독'}, {'movieCd': '20040745', 'movieNm': '인크레더블', 'moviePartNm': '감독'}, {'movieCd': '19998077', 'movieNm': '심슨 가족', 'moviePartNm': '감독'}, {'movieCd': '19998032', 'movieNm': '아이언 자이언트', 'moviePartNm': '감독'}]"
10005852,김지운,감독,"[{'movieCd': '20170942', 'movieNm': '인랑', 'moviePartNm': '감독'}, {'movieCd': '20170942', 'movieNm': '인랑', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20170942', 'movieNm': '인랑', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20159646', 'movieNm': '밀정', 'moviePartNm': '감독'}, {'movieCd': '20159646', 'movieNm': '밀정', 'moviePartNm': '제작'}, {'movieCd': '20159646', 'movieNm': '밀정', 'moviePartNm': '각색'}, {'movieCd': '20123422', 'movieNm': '라스트 스탠드', 'moviePartNm': '감독'}, {'movieCd': '20100301', 'movieNm': '악마를 보았다', 'moviePartNm': '감독'}, {'movieCd': '20100301', 'movieNm': '악마를 보았다', 'moviePartNm': '각색'}, {'movieCd': '20124729', 'movieNm': '악마를 보았다 감독판', 'moviePartNm': '감독'}, {'movieCd': '20072152', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈 ', 'moviePartNm': '감독'}, {'movieCd': '20072152', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈 ', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20072152', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈 ', 'moviePartNm': '제작'}, {'movieCd': '20088973', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈(칸버전)', 'moviePartNm': '감독'}, {'movieCd': '20088973', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈(칸버전)', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20088973', 'movieNm': '좋은 놈, 나쁜 놈, 이상한 놈(칸버전)', 'moviePartNm': '제작'}, {'movieCd': '20080912', 'movieNm': '감독들, 김기영을 말하다', 'moviePartNm': '배우'}, {'movieCd': '20050017', 'movieNm': '달콤한 인생', 'moviePartNm': '감독'}, {'movieCd': '20050017', 'movieNm': '달콤한 인생', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20030131', 'movieNm': '장화, 홍련', 'moviePartNm': '감독'}, {'movieCd': '20030131', 'movieNm': '장화, 홍련', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20020228', 'movieNm': '쓰리', 'moviePartNm': '감독'}, {'movieCd': '20020228', 'movieNm': '쓰리', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20149419', 'movieNm': '쓰리 메모리즈', 'moviePartNm': '감독'}, {'movieCd': '20000030', 'movieNm': '반칙왕', 'moviePartNm': '감독'}, {'movieCd': '20000030', 'movieNm': '반칙왕', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20008551', 'movieNm': '커밍 아웃', 'moviePartNm': '감독'}, {'movieCd': '19980030', 'movieNm': '조용한 가족', 'moviePartNm': '감독'}, {'movieCd': '19980030', 'movieNm': '조용한 가족', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20133082', 'movieNm': '더 엑스', 'moviePartNm': '감독'}, {'movieCd': '20137241', 'movieNm': '사랑의 가위바위보', 'moviePartNm': '감독'}, {'movieCd': '20098296', 'movieNm': '선물', 'moviePartNm': '감독'}, {'movieCd': '20149420', 'movieNm': '사랑의 힘', 'moviePartNm': '감독'}, {'movieCd': '20149346', 'movieNm': '제13회 미쟝센 단편영화제 김지운 감독 마스터클래스', 'moviePartNm': '감독'}, {'movieCd': '20149341', 'movieNm': '제13회 미쟝센 단편영화제 김지운 단편 특별전1', 'moviePartNm': '감독'}, {'movieCd': '20149342', 'movieNm': '제13회 미쟝센 단편영화제 김지운 단편 특별전2', 'moviePartNm': '감독'}, {'movieCd': '20068590', 'movieNm': '인류멸망 보고서', 'moviePartNm': '감독'}, {'movieCd': '20068590', 'movieNm': '인류멸망 보고서', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20134228', 'movieNm': ""인류 멸망 보고서 '천상의 피조물' "", 'moviePartNm': '감독'}, {'movieCd': '20134228', 'movieNm': ""인류 멸망 보고서 '천상의 피조물' "", 'moviePartNm': '시나리오(각본)'}]"
10004265,김병갑,감독,"[{'movieCd': '20185242', 'movieNm': '신비아파트: 금빛 도깨비와 비밀의 동굴', 'moviePartNm': '감독'}, {'movieCd': '20110279', 'movieNm': '마당을 나온 암탉', 'moviePartNm': '애니메이션팀'}, {'movieCd': '20110279', 'movieNm': '마당을 나온 암탉', 'moviePartNm': '스토리보드'}, {'movieCd': '20101221', 'movieNm': '쩨쩨한 로맨스', 'moviePartNm': '애니메이션팀'}, {'movieCd': '20100788', 'movieNm': '마법천자문: 대마왕의 부활을 막아라', 'moviePartNm': '애니메이션팀'}, {'movieCd': '20100788', 'movieNm': '마법천자문: 대마왕의 부활을 막아라', 'moviePartNm': '애니메이션팀'}, {'movieCd': '20050313', 'movieNm': '아치와 씨팍', 'moviePartNm': '스토리보드'}, {'movieCd': '20050313', 'movieNm': '아치와 씨팍', 'moviePartNm': '작화감독'}, {'movieCd': '20050163', 'movieNm': '왕후 심청', 'moviePartNm': '스토리보드'}, {'movieCd': '20050163', 'movieNm': '왕후 심청', 'moviePartNm': '애니메이션팀'}]"
10083194,페이튼 리드,감독,"[{'movieCd': '20180522', 'movieNm': '앤트맨과 와스프', 'moviePartNm': '감독'}, {'movieCd': '20155702', 'movieNm': '앤트맨', 'moviePartNm': '감독'}, {'movieCd': '20081703', 'movieNm': '예스맨', 'moviePartNm': '감독'}, {'movieCd': '20060282', 'movieNm': '브레이크 업 : 이별후애(愛)', 'moviePartNm': '감독'}, {'movieCd': '20072168', 'movieNm': '다운 위드 러브', 'moviePartNm': '감독'}, {'movieCd': '20000309', 'movieNm': '브링잇온', 'moviePartNm': '감독'}]"
10029578,박훈정,감독,"[{'movieCd': '20185341', 'movieNm': '마녀', 'moviePartNm': '감독'}, {'movieCd': '20185341', 'movieNm': '마녀', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20185341', 'movieNm': '마녀', 'moviePartNm': '제작'}, {'movieCd': '20164174', 'movieNm': '브이아이피', 'moviePartNm': '감독'}, {'movieCd': '20164174', 'movieNm': '브이아이피', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20164174', 'movieNm': '브이아이피', 'moviePartNm': '제작'}, {'movieCd': '20145171', 'movieNm': '대호', 'moviePartNm': '감독'}, {'movieCd': '20145171', 'movieNm': '대호', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20124401', 'movieNm': '신세계', 'moviePartNm': '감독'}, {'movieCd': '20124401', 'movieNm': '신세계', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20101003', 'movieNm': '혈투', 'moviePartNm': '감독'}, {'movieCd': '20101003', 'movieNm': '혈투', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20100213', 'movieNm': '부당거래', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20100301', 'movieNm': '악마를 보았다', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20151441', 'movieNm': '대호', 'moviePartNm': '감독'}]"
20070799,고레에다 히로카즈,감독,"[{'movieCd': '20186121', 'movieNm': '어느 가족', 'moviePartNm': '감독'}, {'movieCd': '20172702', 'movieNm': '세 번째 살인', 'moviePartNm': '감독'}, {'movieCd': '20163189', 'movieNm': '태풍이 지나가고', 'moviePartNm': '감독'}, {'movieCd': '20156102', 'movieNm': '바닷마을 다이어리', 'moviePartNm': '감독'}, {'movieCd': '20133704', 'movieNm': '그렇게 아버지가 된다', 'moviePartNm': '감독'}, {'movieCd': '20120941', 'movieNm': '엔딩노트', 'moviePartNm': '제작'}, {'movieCd': '20113473', 'movieNm': '진짜로 일어날지도 몰라 기적', 'moviePartNm': '감독'}, {'movieCd': '20100130', 'movieNm': '공기인형', 'moviePartNm': '감독'}, {'movieCd': '20090340', 'movieNm': '걸어도 걸어도', 'moviePartNm': '감독'}, {'movieCd': '20060415', 'movieNm': '하나', 'moviePartNm': '감독'}, {'movieCd': '20050038', 'movieNm': '아무도 모른다', 'moviePartNm': '감독'}, {'movieCd': '20018972', 'movieNm': '디스턴스', 'moviePartNm': '감독'}, {'movieCd': '19980048', 'movieNm': '원더풀 라이프', 'moviePartNm': '감독'}, {'movieCd': '20070157', 'movieNm': '환상의 빛', 'moviePartNm': '감독'}, {'movieCd': '20196204', 'movieNm': '그러나... 복지를 버리는 시대로', 'moviePartNm': '감독'}, {'movieCd': '20158961', 'movieNm': '또 하나의 교육', 'moviePartNm': '감독'}]"
10025841,마이클 메이슨,감독,"[{'movieCd': '20186001', 'movieNm': '신은 죽지 않았다 3: 어둠 속의 빛', 'moviePartNm': '감독'}]"
10065698,요르고스 란티모스,감독,"[{'movieCd': '20180937', 'movieNm': '더 페이버릿: 여왕의 여자', 'moviePartNm': '감독'}, {'movieCd': '20175221', 'movieNm': '킬링 디어', 'moviePartNm': '감독'}, {'movieCd': '20150862', 'movieNm': '더 랍스터', 'moviePartNm': '감독'}, {'movieCd': '20113591', 'movieNm': '송곳니', 'moviePartNm': '감독'}, {'movieCd': '20198407', 'movieNm': '송곳니 감독판', 'moviePartNm': '감독'}, {'movieCd': '20018797', 'movieNm': '내 가장 친한 친구', 'moviePartNm': '감독'}]"
10018860,루카 구아다니노,감독,"[{'movieCd': '20197503', 'movieNm': '서스페리아', 'moviePartNm': '감독'}, {'movieCd': '20178522', 'movieNm': '콜 미 바이 유어 네임', 'moviePartNm': '감독'}, {'movieCd': '20166362', 'movieNm': '비거 스플래쉬', 'moviePartNm': '감독'}, {'movieCd': '20136833', 'movieNm': '베르톨루치가 말하는 베르톨루치 ', 'moviePartNm': '감독'}, {'movieCd': '20110027', 'movieNm': '아이 엠 러브', 'moviePartNm': '감독'}, {'movieCd': '20051188', 'movieNm': '멜리사 P.', 'moviePartNm': '감독'}]"
